ontology ID	label	editor preferred term	has curation status	alternative term	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	type	parent class
ID	LABEL	A editor preferred term	AI has curation status	A alternative term SPLIT=|	A definition	A definition source SPLIT=|	A example of usage SPLIT=|	A term editor SPLIT=|	A editor note SPLIT=|	A curator note SPLIT=|	A ontology term requester	A term tracker item	CLASS_TYPE	TYPE	C %
sb:PubicSymphysisMorphologicalPhase	Phase of degradation of pubic symphysis degradation				A distinct phase in the degradation of the pubic symphysis that is defined by morphological description.			"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""					subclass		obo:OBI_0000963
sb:FemalePubicSymphysisMorphologicalPhase	Phase of degradation of pubic symphysis degradation in females				A distinct phase in the degradation of the pubic symphysis in females that is defined by morphological description.	Felix Engel		"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""					subclass		sb:PubicSymphysisMorphologicalPhase
sb:FemalePhase1	Phase I	Phase I for females			Symphyseal face has a billowing surface (ridges and furrows) which usually extends to include the pubic tubercle. The horizontal ridges are well-marked and ventral beveling may be commencing. Although ossific nodules may occur on the upper extremity, a key to the recognition of this phase is the lack of delimitation of either extremity (upper or lower). Also confer to the plaster cast corresponding to this phase as shown in Brooks & Suchey (1990, Fig.3).	Brooks, S., & Suchey, J. M. (1990). Skeletal age determination based on the os pubis: a comparison of the Acsádi- Nemeskéri and Suchey-Brooks methods. Human Evolution 5(3), 227-238 . doi:10.1007/BF02437238		"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""	In the original source, the definition contains highlighting by means of italics which is omitted, here.|The definition is identical with the one of the corresponding phase for males but differs in the reference to the sex-specific plaster cast.					sb:FemalePubicSymphysisMorphologicalPhase	
sb:FemalePhase2	Phase II	Phase II for females			The symphyseal face may still show ridge development. The face has commencing delimitation of lower and/or upper extremities occurring with or without ossific nodules. The ventral rampart may be in beginning phases as an extension of the bony activity at either or both extremities. Also confer to the plaster cast corresponding to this phase as shown in Brooks & Suchey (1990, Fig.3).	Brooks, S., & Suchey, J. M. (1990). Skeletal age determination based on the os pubis: a comparison of the Acsádi- Nemeskéri and Suchey-Brooks methods. Human Evolution 5(3), 227-238 . doi:10.1007/BF02437238		"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""	In the original source, the definition contains highlighting by means of italics which is omitted, here.					sb:FemalePubicSymphysisMorphologicalPhase	
sb:FemalePhase3	Phase III	Phase III for females			Symphyseal face shows lower extremity and ventral rampart in process ofcompletion. There can be a continuation of fusing ossific nodules forming the upper extremity and along the ventral border. Symphyseal face is smooth or can continue to show distinct ridges. Dorsal plateau is complete. Absence of lipping of symphyseal dorsal margin; no bony ligamentous outgrowths. Also confer to the plaster cast corresponding to this phase as shown in Brooks & Suchey (1990, Fig.3).	Brooks, S., & Suchey, J. M. (1990). Skeletal age determination based on the os pubis: a comparison of the Acsádi- Nemeskéri and Suchey-Brooks methods. Human Evolution 5(3), 227-238 . doi:10.1007/BF02437238		"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""	In the original source, the definition contains highlighting by means of italics which is omitted, here.|The definition is identical with the one of the corresponding phase for males but differs in the reference to the sex-specific plaster cast.					sb:FemalePubicSymphysisMorphologicalPhase	
sb:FemalePhase4	Phase IV	Phase IV for females			Symphyseal face is generally fine grained although remnants of the old ridge and furrow system may still remain. Usually the oval outline is complete at this stage, but a hiatus can occur in upper ventral rim. Pubic tubercle is fully separated from the symphyseal face by definition of upper extremity. The symphyseal face may have a distinct rim. Ventrally, bony ligamentous outgrowths may occur on inferior portion of pubic bone adjacent to symphyseal face. If any lipping occurs it will be slight and located on the dorsal border. Also confer to the plaster cast corresponding to this phase as shown in Brooks & Suchey (1990, Fig.3).	Brooks, S., & Suchey, J. M. (1990). Skeletal age determination based on the os pubis: a comparison of the Acsádi- Nemeskéri and Suchey-Brooks methods. Human Evolution 5(3), 227-238 . doi:10.1007/BF02437238		"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""	In the original source, the definition contains highlighting by means of italics which is omitted, here.|The definition is identical with the one of the corresponding phase for males but differs in the reference to the sex-specific plaster cast.					sb:FemalePubicSymphysisMorphologicalPhase	
sb:FemalePhase5	Phase V	Phase V for females			Symphyseal face is completely rimmed with some slight depression of the face itself, relative to the rim. Moderate lipping is usually found on the dorsal border with more prominent ligamentous outgrowths on the ventral border. There is little or no rim erosion. Breakdown may occur on superior ventral border. Also confer to the plaster cast corresponding to this phase as shown in Brooks & Suchey (1990, Fig.3).	Brooks, S., & Suchey, J. M. (1990). Skeletal age determination based on the os pubis: a comparison of the Acsádi- Nemeskéri and Suchey-Brooks methods. Human Evolution 5(3), 227-238 . doi:10.1007/BF02437238		"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""	In the original source, the definition contains highlighting by means of italics which is omitted, here.|The definition is identical with the one of the corresponding phase for males but differs in the reference to the sex-specific plaster cast.					sb:FemalePubicSymphysisMorphologicalPhase	
sb:FemalePhase6	Phase VI	Phase VI for females			Symphyseal face may show ongoing depression as rim erodes. Ventral ligamentous attachments are marked. In many individuals the pubic tubercle appears as a separate bony knob. The face may be pitted or porous, giving an appearance of disfigurement with the ongoing process of erratic ossification. Crenulations may occur. The shape of the face is often irregular at this stage.	Brooks, S., & Suchey, J. M. (1990). Skeletal age determination based on the os pubis: a comparison of the Acsádi- Nemeskéri and Suchey-Brooks methods. Human Evolution 5(3), 227-238 . doi:10.1007/BF02437238		"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""	In the original source, the definition contains highlighting by means of italics which is omitted, here.|The definition is identical with the one of the corresponding phase for males but differs in the reference to the sex-specific plaster cast.					sb:FemalePubicSymphysisMorphologicalPhase	
sb:MalePubicSymphysisMorphologicalPhase	Phase of degradation of pubic symphysis degradation in males				A distinct phase in the degradation of the pubic symphysis in males that is defined by morphological description.	Felix Engel		"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""					subclass		sb:PubicSymphysisMorphologicalPhase
